,NetId,name,URL,endDate,dataSize,table,image,audio,video,data type,text/csv,text/json,text/tab-separated-values,image/bmp,image/jpeg,image/png,image/tiff,audio/x-wav,audio/x-aiff,video/mp4,data format,columns [index;name;type;...] for type use categorical or numerical,augmented dataset URL,taskType,taskSubType,outputType,targetIndex,targetName,rawData (non csv) ,rawDataIndex,problemDescription,preprocessing,function calls preprocessing,function parameters preprocessing,featureExtractor,function call feature extraction,function parameters feature extraction,featureSelector,function calls feature selection,function parameters feature selection,sklearn,xgboost,keras,tensorflow,lightgbm,Libraries,estimator,function calls estimation,function parameters estimation,estimator1,function call,estimator2,function call,estimator3,function call,postprocessing,function calls postprocessing,function parameters postprocessing,performanceMetric,crossValidationPerformance,runningTimeSecondsTesting,runningTimeSecondsTraining,WellWrittenCodeDocRating0-5,WellWrittenCodeRating0-5,codeURI,codeYear,codeMonth,codeAuthor,codeCountry,GenericUnivariateSelect,SelectPercentile,SelectKBest,SelectFpr,SelectFdr,SelectFromModel,SelectFwe,RFE,RFECV,VarianceThreshold,chi2,f_classif,f_regression,mutual_info_classif,mutual_info_regression,KNeighborsClassifier,KNeighborsRegressor,SGDClassifier,LinearRegression,LogisticRegression,Ridge,BayesianRidge,Lasso,SGDRegressor,DecisionTreeClassifier,DecisionTreeRegressor,LinearSVC,SVC,LinearSVR,RandomForestClassifier,GradientBoostingClassifier,RandomForestRegressor,GradientBoostingRegressor,MLPClassifier,XGBClassifier,XGBRegressor,CNN,ResNet
1,,data-science-bowl-2018,https://www.kaggle.com/c/data-science-bowl-2018,4/16/18 23:59,358MB,FALSE,TRUE,FALSE,FALSE,image,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,text/csv,[],,classification,multiclass,classLabel,1,EncodedPixels,TRUE,0,Create a computer model that can identify a range of nuclei across varied conditions,normalization/scaling,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,"keras, tensorflow",cnn,,,cnn,,,,,,,,,jaccard,0.277,,,,,https://www.kaggle.com/keegil/keras-u-net-starter-lb-0-277,2018,January,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2,"yz4953, jy2823",dog-breed-identification,https://www.kaggle.com/c/dog-breed-identification,2/26/18 23:59,690MB,FALSE,TRUE,FALSE,FALSE,image,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,text/csv,[],,classification,multiclass,"multiLabel, probabilties",1 to 120,Breeds,TRUE,0,How well can we predict the breed of the dog given in the image,,,,"vgg, vgg, xception, inception bottleneck features",,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,"sklearn, Keras","logisticregression, dnn",,,logisticregression,,dnn,,,,,,,logloss,0.3,,,,,https://www.kaggle.com/gaborfodor/dog-breed-pretrained-keras-models-lb-0-3,2017,December,Gabor Fodor,Hungary,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3,"yz4953, jy2823",digit-recognizer,https://www.kaggle.com/c/digit-recognizer,2001/7/20 0:00,15MB,TRUE,FALSE,FALSE,FALSE,table,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,text/csv,[0; label;categorical;1; pixel0;integer;4; pixel783;integer],,classification,multiclass,classLabel,1,Label,FALSE,,To recognize a handwritten digit,"drop features & entries, normalization/scaling, one hot encoding",,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,keras,cnn,,,cnn,,,,,,,,,accuracy,0.997,,,,,https://www.kaggle.com/yassineghouzam/introduction-to-cnn-keras-0-997-top-6,2017,August,Yassine Ghouzam,France,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
4,,leaf-classification,https://www.kaggle.com/c/leaf-classification,2/28/17 23:59,34MB,TRUE,FALSE,FALSE,FALSE,table,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,text/csv,[0; id;integer;1; species;categorical;3; margin2;real;5; margin64;real;6; shape1;real;7; shape2;real;9; shape64;real;0; texture1;real;1; texture2;real;2; texture64;real],,classification,multiclass,"multiLabel, probabilties",1 to 99,Species,FALSE,,To recognize the plant species,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,keras,cnn,,,cnn,,,,,,,,,logloss,0.02204,,,,,https://www.kaggle.com/davidprakash/nn-kernel,2017,February,David Prakash,Singapore,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
5,"yz4953, jy2823",dogs-vs-cats-redux-kernels-edition,https://www.kaggle.com/c/dogs-vs-cats-redux-kernels-edition,2003/2/17 23:59,814MB,FALSE,TRUE,FALSE,FALSE,image,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,jpg,[],,classification,binary,probabilities,1,Label,TRUE,0,To recognize pictures of dogs,image pre-processing,,,convert data to arrays,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TensorFlow,cnn,,,cnn,,,,,,,,,logloss,0.51342,,,,,https://www.kaggle.com/moseswong33/full-classification-example-with-convnet-eb8756/code,2017,December,Moses Wong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
6,"wl1845, jx1119",titanic,https://www.kaggle.com/c/titanic,2004/7/20 0:00,59KB,TRUE,FALSE,FALSE,FALSE,table,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,csv,[0; PassengerId;integer;1; Survived;string;2; Pclass;categorical;3; Name;string;4; sex;categorical;5; Age;integer;6; SibSp;categorical;7; Parch;categorical;8; Ticket;string;9; Fare;real;0; Cabin;string;1; Embarked;categorical],,classification,binary,classLabel,1,Survived,FALSE,,Predicting if a passenger survived the sinking of Titanic or not,"extracted features from 3 members, nan processing",,,,,,"selectkbest, f_classif","SelectKBest(f_classif, k=len(features))",,TRUE,FALSE,FALSE,FALSE,FALSE,sklearn,"ensemble, randomforestregressor/classifier","RandomForestClassifier(n_estimators=3000, min_samples_split=4, class_weight={0:0.745,1:0.255})",,decisiontreeclassifier/regressor,ExtraTreesRegressor(n_estimators=200),randomforestregressor/classifier,,randomforestclassifier,,,,,accuracy,0.82775,,,,,https://www.kaggle.com/voyageth/titanic-machine-learning-from-disaster/code,2017,Januray,Sungju Kwon,South Korea,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,"xz2212, yc3205",house-prices-advanced-regression-techniques,https://www.kaggle.com/c/house-prices-advanced-regression-techniques,2003/1/20 23:59,1.12MB,TRUE,FALSE,FALSE,FALSE,table,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,csv,[0; id;integer;1;MSSubClass;integer;2; MSZoning;categorical;3; LotFrontage;integer;4; LotArea;integer;5; Street;categorical;6; Alley;categorical;7; LotShape;categorical;8; LandContour;categorical;9; Utilities;categorical;10; LotConfig;categorical;11; LandSlope;categorical;12; Neighborhood;categorical;13; Condition1;categorical;14; BldgType;categorical;15; HouseStyle;categorical;16; OverallQual;integer;16; OverallCond;integer;17; YearBuilt;list;18; YearRemodAdd;integer;19; RoofStyle;categorical;20; RoofMatl;categorical;21; Exterior1st;categorical;22; Exterior2nd;categorical;23; MasVnrType;categorical;24; MasVnrArea;categorical;25; ExterQual;categorical;26; ExterCond;categorical;27; Foundation;categorical;28; BsmtQual;categorical;29; BsmtCond;categorical;30; BsmtExposure;categorical;31; BsmtFinType1;integer;32; BsmtFinSF1;integer;33;BsmtFinType2;categorical;34; BsmtFinSF2;integer;35; BsmtUnfSF;integer;36; TotalBsmtSF;integer;37; Heating;categorical;38; HeatingQC;categorical;39; CentralAir;categorical;40; Electrical;categorical;41; 1stFlrSF;integer;42; 2ndFlrSF;integer;43; LowQualFinSF;integer;44; GrLivArea;integer;45;BsmtFullBath;categorical;46; BsmtHalfBath;categorical;47; FullBath;categorical;48; HalfBath;categorical;49; BedroomAbvGr;categorical;50; KitchenAbvGr;categorical;51; KitchenQual;categorical;52; TotRmsAbvGrd;integer;53;Functional;integer;54; Fireplaces;integer;55; FireplaceQu;categorical;56; GarageType;categorical;57; GarageYrBlt;integer;58; GarageFinish;categorical;59; GarageCars;integer60; GarageArea;integer;61; GarageQual;categorical;62; GarageCond;categorical;63; PavedDrive;categorical;64; WoodDeckSF;integer;65; OpenPorchSF;integer;66; EnclosedPorch;categorical;67; 3SsnPorch;categorical;68; ScreenPorch;categorical;69; PoolArea;integer;70; PoolQC;categorical;71; Fence;categorical;72; MiscFeature;categorical;73; MiscVal;integer;74; MoSold;integer;75; YrSold;integer;76; SaleType;categorical;77; SaleCondition;categorical;78; SalePrice;integer],,regression,univariate,generalScore,78,SalePrice,FALSE,,Prediciting the final price of each home given data on the house,"nan processing, one hot encoding, one hot encoding, normalization/scaling",,,,,,,,,FALSE,TRUE,FALSE,FALSE,TRUE,"XGboost, LightGBM, StackedRegressor","decisiontreeclassifier/regressor, stackedregression, ensemble",,,decisiontreeclassifier/regressor,,stackedregression,,ensemble,,,,,rmsle,0.075219046,,,,,https://www.kaggle.com/serigne/stacked-regressions-top-4-on-leaderboard,2017,December,Serigne,France,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,"hb1578, an2846",competitive-data-science-predict-future-sales,https://www.kaggle.com/c/competitive-data-science-predict-future-sales,2001/1/19 23:59,19MB,TRUE,FALSE,FALSE,FALSE,table,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,csv,[0;image;categorical;1;id;categorical],,regression,univariate,generalScore,1,item_cnt_month,FALSE,,Forecast the total amount of products sold in every shop for the test set,one hot encoding,,,tfidfvectorizer,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,sklearn,extratreesclassifier,,,extratreesclassifier,,,,,,,,,rmse,1.19205,,,,,https://www.kaggle.com/the1owl/playing-in-the-sandbox/code,2018,February,Daniel Preciado,United States,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,cy1365_ad3634,whale-categorization-playground,https://www.kaggle.com/c/whale-categorization-playground,2007/9/18 23:59,693MB,FALSE,TRUE,FALSE,FALSE,image,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,jpg,,,classification,multiclass,"multiLabel (labels with top 5 probabilities, but probabilities are not in the output)",1,id (Species),TRUE,0,identifying whale species in images(up to 5 labels),"one hot encoding, image pre-processing",,,,,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,"keras,sklearn",cnn,,,cnn,,,,,,,,,map,0.32875,,,,,https://www.kaggle.com/gimunu/data-augmentation-with-keras-into-cnn/code,2018,March,AJ Goldstein,United Kingdom,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
10,,imaterialist-challenge-furniture-2018,https://www.kaggle.com/c/imaterialist-challenge-furniture-2018,5/30/18 23:59,47MB,TRUE,FALSE,FALSE,FALSE,table,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,json,[0; image_id;integer;1; label_id;integer;2; url;string],,classification,multiclass,classLabel,1,predicted,FALSE,,To accurately assign category labels for furniture and home goods images.,read json to dataframe,,,tfidfvectorizer,"TfidfVectorizer(analyzer='char', ngram_range=(1, 3), max_features=2500, lowercase=False)",,,,,TRUE,FALSE,FALSE,FALSE,FALSE,sklearn,logisticregression,LogisticRegression(C=10.0),,logisticregression,,,,,,,,,accuracy,0.968,,,,,https://www.kaggle.com/iezepov/this-is-a-text-classification-competition,2018,March,Ilya Ezepov,Russia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
